"protein_A","protein_B"
"Acsl1","Rpl23a"
"Acsl1","Rpl28"
"Acsl1","Rpl29"
"Acsl1","Rpl3"
"Acsl1","Rpl30"
"Acsl1","Rpl31"
"Acsl1","Rpl34"
"Acsl1","Rpl35"
"Acsl1","Rpl36"
"Acsl1","Rpl4"
"Acsl1","Rpl7"
"Acsl1","Rpl8"
"Acsl1","Rplp0"
"Acsl1","Rplp2"
"Acsl1","Rps10"
"Acsl1","Rps11"
"Acsl1","Rps13"
"Acsl1","Rps15a"
"Acsl1","Rps18"
"Acsl1","Rps2"
"Acsl1","Rps24"
"Acsl1","Rps25"
"Acsl1","Rps26"
"Acsl1","Rps29"
"Acsl1","Rps3a"
"Acsl1","Rps4x"
"Acsl1","Rps6"
"Acsl1","Rps8"
"Acsl1","Rps9"
"Acsl1","Rrbp1"
"Acsl1","Rtcb"
"Acsl1","Rtn4"
"Acsl1","Sfpq"
"Acsl1","Sptan1"
"Acsl1","Sptbn2"
"Acsl1","Tnr"
"Acss2","Ahsa1"
"Acss2","Ahsg"
"Acss2","Aldh6a1"
"Acss2","Aldh9a1"
"Acss2","Anxa6"
"Acss2","Apip"
"Acss2","Arrb1"
"Acss2","Chordc1"
"Acss2","Crym"
"Acss2","Ddc"
"Acss2","Eno1"
"Acss2","Eno3"
"Acss2","Etfa"
"Acss2","Etfb"
"Acss2","Fdps"
"Acss2","Gars"
"Acss2","Gm20390"
"Acss2","Got1"
"Acss2","Gpx1"
"Acss2","Hprt1"
"Acss2","Hpx"
"Acss2","Hspa12a"
"Acss2","Hspe1"
"Acss2","Idh1"
"Acss2","Kyat1"
"Acss2","Lcp1"
"Acss2","Map4"
"Acss2","Mapre3"
"Acss2","Nans"
"Acss2","Ndrg1"
"Acss2","Nhlrc2"
"Acss2","Pdia3"
"Acss2","Pdxk"
"Acss2","Pgd"
"Acss2","Phyhipl"
"Acss2","Pls3"
"Acss2","Pnp"
"Acss2","Ppa2"
"Acss2","Ppp1r1b"
"Acss2","Prep"
"Acss2","Prepl"
"Acss2","Prps1l3"
"Acss2","Prpsap2"
"Acss2","Psme1"
"Acss2","Ptges3"
"Acss2","Rnh1"
"Acss2","Sephs2"
"Acss2","Serpina1a"
"Acss2","Serpina1b"
"Acss2","Serpinb1a"
"Acss2","Sncb"
"Acss2","Sord"
